drug_a,drug_b,interaction,severity,mechanism,clinical_risk,recommendation,potential_alternative
Ciprofloxacin,Ondansetron,1,Major,Dual prolongation of ventricular repolarization (additive hERG channel inhibition).,Critical QTc interval lengthening and life-threatening ventricular tachyarrhythmias.,Avoid concurrent use. Monitor continuous 12-lead ECG if simultaneous administration is unavoidable.,Metoclopramide or Prochlorperazine for nausea management.
Lisinopril,Spironolactone,1,Major,Concurrent blockade of the renin-angiotensin-aldosterone axis suppresses aldosterone-driven potassium excretion.,Severe hyperkalemia (>6.0 mEq/L) triggering cardiac conduction arrest and acute renal failure.,Carefully monitor serum potassium and creatinine within 3-7 days of initiation and periodically thereafter.,Furosemide or non-potassium-sparing diuretic adjustment.
Methotrexate,Ibuprofen,1,Major,NSAIDs decrease renal blood flow and competitive inhibition of renal tubular organic anion transport reduces methotrexate clearance.,"Severe, potentially fatal methotrexate bone marrow suppression, pancytopenia, and acute renal tubular necrosis.",Avoid concurrent NSAID administration with high-dose methotrexate; use extreme caution in low-dose arthritis regimens.,Acetaminophen/Paracetamol for pain control.
Digoxin,Amiodarone,1,Major,"Amiodarone strongly inhibits renal and biliary P-glycoprotein (MDR1) efflux transporters, reducing digoxin clearance by 50%.","Severe digitalis toxicity: bradycardia, high-grade AV block, nausea, visual disturbances, and fatal ventricular arrhythmias.",Reduce digoxin maintenance dose by 50% upon initiating amiodarone and monitor serum digoxin trough levels.,Beta-blocker (Bisoprolol) for ventricular rate control if clinically appropriate.
Clopidogrel,Omeprazole,1,Major,Omeprazole competitive inhibition of hepatic CYP2C19 impairs bioactivation of prodrug clopidogrel to its active thiol metabolite.,"Subtherapeutic antiplatelet efficacy, increasing the risk of acute stent thrombosis, myocardial infarction, or stroke.","Switch PPI from omeprazole to pantoprazole, which displays minimal CYP2C19 inhibitory affinity.",Pantoprazole or Famotidine (H2-receptor antagonist).
Tacrolimus,Ketoconazole,1,Major,Extreme CYP3A4 and P-glycoprotein inhibition causes massive retention of circulating tacrolimus.,"Severe nephrotoxicity, neurotoxicity, severe hypertension, and hyperkalemia.",Avoid systemic ketoconazole in transplant recipients on calcineurin inhibitors.,Topical antifungals or non-azole therapies with daily tacrolimus trough monitoring.
Cyclosporine,Atorvastatin,1,Major,"Cyclosporine inhibits OATP1B1 hepatic uptake transporter and CYP3A4, dramatically elevating statin exposure.",Acute rhabdomyolysis and myopathy with secondary acute tubular necrosis.,Avoid combination or cap atorvastatin at 10 mg with close creatine kinase surveillance.,Pravastatin (maximum 20 mg daily) after clinician review.
Theophylline,Ciprofloxacin,1,Major,Potent CYP1A2 inhibition by ciprofloxacin blocks hepatic demethylation and oxidation of theophylline.,"Severe methylxanthine toxicity: refractory seizures, cardiac tachyarrhythmias, and vomiting.","Avoid ciprofloxacin; if mandatory, reduce theophylline dosage by 50% and track serum levels.",Levofloxacin or Azithromycin (minimal CYP1A2 inhibition).
Apixaban,Ketoconazole,1,Major,Dual potent inhibition of CYP3A4 and P-glycoprotein doubles apixaban systemic area under curve.,Major life-threatening internal bleeding episodes.,Avoid concurrent administration or reduce apixaban dose by 50% per labeling instructions.,Alternative non-azole antifungal or topical antifungal agents.
Digoxin,Verapamil,1,Moderate,Verapamil inhibits P-glycoprotein transport and possesses negative dromotropic effects.,Increased digoxin blood levels (40-60% rise) and additive sinus bradycardia / heart block.,Reduce digoxin dosage by 30-50% and track ECG PR intervals and heart rate.,Amlodipine (dihydropyridine CCB) has no substantial effect on digoxin clearance.
Fluoxetine,Ondansetron,1,Moderate,Additive serotonergic pharmacodynamic effects and mild QT prolongation potential.,Serotonin excess symptoms and borderline ECG QT prolongation.,"Monitor for tremors, diaphoresis, hyperreflexia, and check ECG in elderly patients.",Granisetron or prochlorperazine under medical supervision.
Metformin,Ciprofloxacin,1,Moderate,"Ciprofloxacin inhibits renal organic cation transporters (OCT2), elevating metformin serum concentrations.",Increased incidence of severe hypoglycemia and lactic acidosis risk in renal compromise.,Monitor blood glucose closely and maintain adequate patient hydration.,"Beta-lactam antibiotics (Amoxicillin, Ceftriaxone) if microbiologically susceptible."
Aspirin,Ibuprofen,1,Moderate,"Ibuprofen binds competitively to platelet COX-1 active site, blocking irreversible acetylation by low-dose aspirin.",Attenuated cardioprotective antiplatelet effect of cardioprotective aspirin plus increased GI erosion.,"Take immediate-release aspirin at least 30 minutes before, or 8 hours after, ibuprofen.",Acetaminophen/Paracetamol or Celecoxib after specialist review.
Phenytoin,Carbamazepine,1,Moderate,Mutual induction and competition for CYP hepatic metabolic pathways.,"Fluctuating antiepileptic drug levels, loss of seizure control or neurotoxicity.",Frequent therapeutic drug monitoring (TDM) of total and free serum levels for both agents.,Levetiracetam or Lamotrigine.
Atorvastatin,Diltiazem,1,Moderate,Moderate CYP3A4 inhibition by diltiazem increases atorvastatin plasma concentration by 20-30%.,"Elevated risk of myalgia, elevated transaminases, or mild myopathy.",Limit atorvastatin dose to 20 mg daily or monitor patient for muscle symptoms.,Rosuvastatin (metabolized mainly via CYP2C9) or Pravastatin.
Lisinopril,Ibuprofen,1,Moderate,NSAID inhibits renal prostaglandins responsible for afferent arteriole vasodilation while ACEI blocks efferent vasoconstriction.,Blunting of antihypertensive effect and acute hemodynamic decline in glomerular filtration rate (GFR).,Monitor blood pressure and renal function; limit NSAID duration to briefest necessary course.,Acetaminophen/Paracetamol for mild pain.
Sertraline,Aspirin,1,Moderate,"SSRI depletes platelet intra-granular serotonin storage, compounding antiplatelet inhibition.",Elevated risk of upper gastrointestinal bleeding and ecchymoses.,Consider co-prescription of gastroprotective proton pump inhibitor (Pantoprazole).,Monitor signs of gastrointestinal hemorrhage.
Diazepam,Fluoxetine,1,Moderate,Inhibition of CYP2C19 and CYP3A4 delays clearance of diazepam and desmethyldiazepam.,"Prolonged psychomotor impairment, excessive daytime sedation, and fall risk in elderly.",Consider dosage reduction of diazepam or switch to non-CYP metabolized benzodiazepine.,Lorazepam or Oxazepam (glucuronidated directly).
Amlodipine,Simvastatin,1,Moderate,"Amlodipine mildly inhibits CYP3A4, elevating simvastatin exposure by approximately 70%.",Increased risk of statin-induced myopathy and elevated creatine kinase.,Do not exceed simvastatin 20 mg daily when combined with amlodipine.,Rosuvastatin or Atorvastatin under clinical review.
Clarithromycin,Digoxin,1,Moderate,Inhibition of gut flora Eubacterium lentum (which hydrolyzes digoxin) and P-gp inhibition in kidney.,"Digitalis toxicity: arrhythmias, vision changes, and vomiting.",Monitor serum digoxin concentration and reduce dose if necessary.,Azithromycin has minimal effect on digoxin transport.
Carvedilol,Digoxin,1,Moderate,Additive depression of AV nodal conduction and slight increase in digoxin AUC.,"Bradycardia, PR interval prolongation, and advanced AV conduction block.","Monitor heart rate, ECG rhythm strips, and digoxin trough levels.",Adjust beta-blocker titration schedule carefully.
Prednisone,Ibuprofen,1,Moderate,Concurrent disruption of gastric cytoprotective prostaglandin synthesis and impaired epithelial repair.,Substantial amplification of gastric and duodenal ulceration and gastrointestinal hemorrhage.,Provide gastroprotection with proton pump inhibitor (Pantoprazole) during concurrent therapy.,Paracetamol for analgesia; minimize corticosteroid duration.
Metformin,Lisinopril,0,Minor,ACE inhibitors may slightly enhance insulin sensitivity and enhance glycemic response.,"Mild, usually asymptomatic enhancement of hypoglycemic effect; monitoring sufficient.",Standard self-monitoring of blood glucose; no medication withdrawal necessary.,Clinical combination is widely used in diabetic nephropathy management.
Amlodipine,Hydrochlorothiazide,0,Minor,Additive complementary blood pressure lowering mechanisms.,Beneficial antihypertensive synergy; mild orthostatic sensation upon initiating.,Clinically favorable synergistic guideline-directed combination.,Guideline-supported combination therapy.
Paracetamol,Amoxicillin,0,Minor,No adverse pharmacokinetic interaction or metabolic competition.,Minimal to zero clinical risk. Safe for concurrent therapeutic use.,Safe to administer together according to standard dosage instructions.,Well-established safe combination.
Levothyroxine,Paracetamol,0,Minor,No significant pharmacokinetic or absorption interference.,Negligible clinical effect.,Standard clinical dosing acceptable.,Safe combination.
Pantoprazole,Amoxicillin,0,Minor,Gastric acid reduction optimizes penicillin stability (standard H. pylori regimen).,Synergistic eradication benefit without toxic risk.,Standard recommended combination for Helicobacter pylori eradication.,Standard clinical guideline therapy.
Atorvastatin,Metformin,0,Minor,No significant CYP pathway overlap.,Safe concurrent administration in diabetic dyslipidemia.,Standard therapeutic monitoring of HbA1c and lipid panel.,Guideline-recommended combination for cardiovascular risk reduction.
Rosuvastatin,Lisinopril,0,Minor,Independent metabolic and excretory routes.,Standard cardioprotective combination without significant pharmacokinetic interaction.,Standard clinical care.,Safe guideline-directed therapy.
Paracetamol,Pantoprazole,0,Minor,No clinically meaningful interaction between paracetamol metabolism and pantoprazole.,Negligible risk.,Safe to take concurrently under routine clinical dosing.,Routine clinical practice.
Metformin,Amlodipine,0,Minor,Independent metabolic and clearance pathways.,No significant adverse interaction.,Routine clinical follow-up.,Standard combination in metabolic syndrome.
Aspirin,Atorvastatin,0,Minor,Independent therapeutic pathways with complementary cardiovascular protection.,Guideline-directed secondary prevention combination.,Standard cardiovascular clinical follow-up.,Established standard of care.
Alprazolam,Pantoprazole,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Dabigatran,Cyclosporine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Aspirin,Furosemide,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Metoclopramide,Methotrexate,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Fentanyl,Glipizide,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Morphine,Theophylline,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Morphine,Furosemide,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Paracetamol,Atenolol,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Pantoprazole,Prednisone,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Dabigatran,Olanzapine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Levofloxacin,Phenytoin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Ondansetron,Salbutamol,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Metoprolol,Glipizide,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Rivaroxaban,Levothyroxine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Citalopram,Metformin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Enalapril,Alprazolam,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Aspirin,Olanzapine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Aspirin,Lorazepam,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Dabigatran,Enalapril,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Morphine,Atorvastatin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Morphine,Quetiapine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Hydrochlorothiazide,Fluoxetine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Venlafaxine,Levothyroxine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Aspirin,Verapamil,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Atenolol,Metformin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Ketorolac,Metoclopramide,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Empagliflozin,Phenytoin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Quetiapine,Pantoprazole,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Doxycycline,Theophylline,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Enalapril,Venlafaxine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Morphine,Digoxin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Valsartan,Citalopram,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Citalopram,Olanzapine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Fentanyl,Methotrexate,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Warfarin,Furosemide,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Naproxen,Quetiapine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Doxycycline,Empagliflozin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Enalapril,Haloperidol,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Pravastatin,Escitalopram,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Naproxen,Spironolactone,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Tramadol,Methotrexate,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Pravastatin,Verapamil,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Dabigatran,Digoxin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Digoxin,Glipizide,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Dabigatran,Verapamil,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Amiodarone,Valsartan,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Pravastatin,Haloperidol,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Duloxetine,Amoxicillin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Fentanyl,Simvastatin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Aspirin,Levothyroxine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Levetiracetam,Pantoprazole,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Valsartan,Phenytoin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Diltiazem,Empagliflozin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Ibuprofen,Levofloxacin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Digoxin,Amoxicillin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Rivaroxaban,Lorazepam,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Atenolol,Escitalopram,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Simvastatin,Levetiracetam,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Lorazepam,Omeprazole,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Diazepam,Salbutamol,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Amiodarone,Amoxicillin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Sertraline,Lorazepam,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Ketorolac,Levofloxacin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Metformin,Carbamazepine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Apixaban,Levothyroxine,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Clopidogrel,Lisinopril,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
Clarithromycin,Empagliflozin,0,Minor,No significant pharmacokinetic competition or additive pharmacodynamic synergy identified.,Low probability of adverse interaction under standard therapeutic dosages.,Standard clinical monitoring. Ensure independent clinician review.,No alternative therapy required based on current evidence.
