drug_id,name,brand_names,category,atc_code,pubchem_cid,smiles,formula,molecular_weight,logp,tpsa,h_donors,h_acceptors,rotatable_bonds,heavy_atoms,ring_count,cyp_inhibitor,cyp_substrate,qt_prolonging,bleeding_risk,serotonergic,renal_risk,clinician_note
11,Ketorolac,Toradol,Potent NSAID,M01AB15,3826,C1CC2=CC=CC=C2N1C(=O)C3=CC=CC=C3C(=O)O,C16H13NO3,267.28,2.59,57.61,1,2,2,20,3,0,0,0,1,0,1,Strict 5-day maximum duration due to severe gastrointestinal perforation and nephrotoxicity risk.
12,Tramadol,Ultram,Opioid Analgesic,N02AX02,33741,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,C16H25NO2,263.38,2.63,32.7,1,3,4,19,2,0,1,1,0,1,0,Codeine or non-serotonergic opioid if pain management required without serotonin syndrome risk.
13,Morphine,"MS Contin, Kadian",Opioid Analgesic,N02AA01,5288826,CN1CCC23C4C1CC5=C2C(=C(O)C=C5)OC3C(C=C4)O,C17H19NO3,285.34,1.2,52.93,2,4,0,21,5,0,0,0,0,0,1,Oxycodone or Hydromorphone with careful equianalgesic conversion and respiratory monitoring.
14,Oxycodone,"OxyContin, Roxicodone",Opioid Analgesic,N02AA05,5284603,CN1CCC23C4C1CC5=C2C(=C(OC)C=C5)OC3C(=O)CCC4(O)O,C19H23NO5,345.4,0.61,79.23,2,6,1,25,5,0,1,0,0,0,1,Morphine or Hydromorphone per pain protocol.
15,Fentanyl,"Duragesic, Sublimaze",Opioid Analgesic,N02AB03,3345,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3,C22H28N2O,336.48,4.14,23.55,0,2,6,25,3,0,1,0,0,1,0,Morphine or Buprenorphine under specialized palliative/pain protocol.
16,Simvastatin,Zocor,HMG-CoA Reductase Inhibitor,C10AA01,54454,CCC(C)(C)C(=O)OC1CC(C)C=C2C1C(CCC2C)C(O)CC(=O)O,C21H34O5,366.5,3.8,83.83,2,4,6,26,2,0,1,0,0,0,0,Pravastatin or Rosuvastatin have lower CYP3A4-mediated rhabdomyolysis interaction potential.
17,Atorvastatin,Lipitor,HMG-CoA Reductase Inhibitor,C10AA05,60823,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,C33H35FN2O5,558.65,6.31,111.79,4,4,12,41,4,1,1,0,0,0,0,Rosuvastatin or Pitavastatin for low CYP3A4 drug interaction liability.
18,Rosuvastatin,Crestor,HMG-CoA Reductase Inhibitor,C10AA07,446157,CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,C22H28FN3O6S,481.55,2.4,140.92,3,7,10,33,2,0,0,0,0,0,1,Pravastatin if severe hepatic disease; monitor renal function with high doses.
19,Pravastatin,Pravachol,HMG-CoA Reductase Inhibitor,C10AA03,54687,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O,C23H36O7,424.53,2.44,124.29,4,6,10,30,2,0,0,0,0,0,0,Eliminated by non-CYP pathways (sulfation); preferred statin when multiple CYP3A4 inhibitors present.
20,Amiodarone,"Cordarone, Pacerone",Antiarrhythmic Class III,C01BD01,2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,C25H29I2NO3,645.32,6.94,42.68,0,4,11,31,3,1,1,1,0,0,0,Dronedarone or beta-blocker if non-severe ventricular rhythm; cardiology consultation required.
21,Digoxin,Lanoxin,Cardiac Glycoside,C01AA05,2724385,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,C41H64O14,780.95,2.22,203.06,6,14,7,55,8,0,0,0,0,0,1,"Beta-blocker (Bisoprolol, Carvedilol) for rate control in atrial fibrillation."
22,Lisinopril,"Prinivil, Zestril",ACE Inhibitor,C09AA03,5362119,C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O,C21H31N3O5,405.5,1.24,132.96,4,5,12,29,2,0,0,0,0,0,1,Losartan or Amlodipine if ACE-inhibitor cough occurs or combination therapy needs re-evaluation.
23,Enalapril,Vasotec,ACE Inhibitor,C09AA02,5388962,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O,C20H28N2O5,376.45,1.6,95.94,2,5,9,27,2,0,0,0,0,0,1,Amlodipine or Telmisartan per clinical BP target and serum creatinine.
24,Losartan,Cozaar,Angiotensin II Receptor Blocker (ARB),C09CA01,3961,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)Cl)CO,C22H23ClN6O,422.92,4.27,92.51,2,5,8,30,4,1,1,0,0,0,1,Valsartan or Amlodipine if patient shows hyperkalemia or hypotension.
25,Valsartan,Diovan,Angiotensin II Receptor Blocker (ARB),C09CA03,60846,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,C24H29N5O3,435.53,4.16,112.07,2,5,10,32,3,0,0,0,0,0,1,Telmisartan has long half-life and dual PPAR-gamma partial agonism.
26,Spironolactone,Aldactone,Potassium-Sparing Diuretic,C03DA01,5833,CC(=O)SC1CC2=CC(=O)CCC2(C3C1CC4C3(CCC45CCC(=O)O5)C)C,C23H30O4S,402.56,4.46,60.44,0,5,1,28,5,0,1,0,0,0,1,Eplerenone has higher mineralocorticoid selectivity; Furosemide if potassium retention is high.
27,Furosemide,Lasix,Loop Diuretic,C03CA01,3440,C1=C(C(=CC(=C1Cl)S(=O)(=O)N)C(=O)O)NCC2=CC=CO2,C12H11ClN2O5S,330.75,1.89,122.63,3,5,5,21,2,0,0,0,0,0,1,Torsemide has more predictable bioavailability in chronic congestive heart failure.
28,Hydrochlorothiazide,Microzide,Thiazide Diuretic,C03AA03,3639,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,C7H8ClN3O4S2,297.75,-0.35,118.36,3,5,1,17,2,0,0,0,0,0,1,Chlorthalidone or Indapamide based on eGFR and glycemic profile.
29,Amlodipine,Norvasc,Dihydropyridine Calcium Channel Blocker,C08CA01,2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,C20H25ClN2O5,408.88,2.27,99.88,2,7,8,28,2,1,1,0,0,0,0,Lercanidipine has lower incidence of peripheral ankle edema.
30,Verapamil,"Calan, Verelan",Non-dihydropyridine Calcium Channel Blocker,C08DA01,2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,C27H38N2O4,454.61,5.09,63.95,0,6,13,33,2,1,1,0,0,0,0,Diltiazem or Amlodipine; verify baseline PR interval and ejection fraction.
31,Diltiazem,Cardizem,Non-dihydropyridine Calcium Channel Blocker,C08DB01,39186,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,C22H26N2O4S,414.53,3.37,59.08,0,6,6,29,3,1,1,0,0,0,0,Metoprolol or Amlodipine after evaluation of nodal conduction and LV function.
32,Metoprolol,"Lopressor, Toprol-XL",Beta-1 Selective Adrenergic Blocker,C07AB02,4171,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,C15H25NO3,267.37,1.61,50.72,2,4,9,19,1,0,1,0,0,0,0,Bisoprolol or Atenolol have less dependence on CYP2D6 genetic polymorphism.
33,Atenolol,Tenormin,Beta-1 Selective Adrenergic Blocker,C07AB03,2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,C14H22N2O3,266.34,0.45,84.58,3,4,8,19,1,0,0,0,0,0,1,Bisoprolol or Nebivolol for enhanced endothelial nitric oxide release.
34,Carvedilol,Coreg,Non-selective Beta Blocker / Alpha-1 Blocker,C07AG02,2585,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,C24H26N2O4,406.48,3.74,75.74,3,5,10,30,4,1,1,0,0,0,0,Metoprolol succinate for heart failure if alpha-blocker postural hypotension occurs.
35,Fluoxetine,Prozac,SSRI Antidepressant,N06AB03,3386,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,C17H18F3NO,309.33,4.44,21.26,1,2,6,22,2,1,1,1,1,1,0,Sertraline or Escitalopram have significantly shorter half-lives and less CYP2D6 inhibition.
36,Sertraline,Zoloft,SSRI Antidepressant,N06AB06,68617,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,C17H17Cl2N,306.24,5.18,12.03,1,1,2,20,3,1,1,1,1,1,0,Escitalopram has lower CYP enzyme inhibition potential.
37,Escitalopram,"Lexapro, Cipralex",SSRI Antidepressant,N06AB10,146570,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,C20H21FN2O,324.4,3.81,36.26,0,3,5,24,3,0,1,1,1,1,0,Mirtazapine or Bupropion if QT prolongation risk or sexual side effects are concerns.
38,Citalopram,Celexa,SSRI Antidepressant,N06AB04,2771,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,C20H21FN2O,324.4,3.81,36.26,0,3,5,24,3,0,1,1,1,1,0,Sertraline has lower documented QT liability than racemic citalopram.
39,Venlafaxine,Effexor,SNRI Antidepressant,N06AX16,5656,CN(C)CC(C1(CCCCC1)O)C2=CC=C(C=C2)OC,C17H27NO2,277.41,3.04,32.7,1,3,5,20,2,0,1,1,1,1,0,Duloxetine or Desvenlafaxine under clinical assessment of blood pressure.
40,Duloxetine,Cymbalta,SNRI Antidepressant,N06AX21,60835,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,C18H19NOS,297.42,4.63,21.26,1,3,6,21,3,1,1,0,1,1,1,Pregabalin or Gabapentin for neuropathic pain without serotonergic interaction risk.
41,Amitriptyline,Elavil,Tricyclic Antidepressant (TCA),N06AA09,2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,C20H23N,277.41,4.17,3.24,0,1,3,21,3,1,1,1,0,1,0,Nortriptyline has lower anticholinergic and orthostatic side-effect burden.
42,Diazepam,Valium,Benzodiazepine,N05BA01,3016,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,C16H13ClN2O,284.75,3.15,32.67,0,2,1,20,3,0,1,0,0,0,0,Lorazepam or Oxazepam undergo direct glucuronidation without active CYP metabolites.
43,Lorazepam,Ativan,Benzodiazepine,N05BA06,3958,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,C15H10Cl2N2O2,321.16,3.1,61.69,2,3,1,21,3,0,0,0,0,0,0,Safer in hepatic insufficiency; non-benzodiazepine sleep aid (Melatonin) for insomnia.
44,Alprazolam,Xanax,Benzodiazepine,N05BA12,2118,CC1=NN=C2CN=C(C3=CC=CC=C3)C4=C(C=C(C=C4)Cl)N12,C17H13ClN4,308.77,3.58,43.07,0,3,1,22,4,0,1,0,0,0,0,Buspirone or SSRI for long-term anxiety without sedation/dependence risk.
45,Haloperidol,Haldol,First-generation Antipsychotic,N05AD01,3559,C1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F,C15H20FNO,249.33,3.27,20.31,0,2,5,18,2,1,1,1,0,0,0,Aripiprazole or Olanzapine have lower extrapyramidal and QT prolongation profiles.
46,Quetiapine,Seroquel,Atypical Antipsychotic,N05AH04,5002,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,C21H25N3O2S,383.52,2.86,48.3,1,6,5,27,4,0,1,1,0,0,0,Aripiprazole or Risperidone under metabolic and sedation monitoring.
47,Olanzapine,Zyprexa,Atypical Antipsychotic,N05AH03,4585,CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(C)CC4,C17H20N4S,312.44,1.75,30.87,1,5,1,22,4,0,1,0,0,0,0,Lurasidone or Aripiprazole for favorable metabolic and weight profile.
48,Clarithromycin,Biaxin,Macrolide Antibiotic,J01FA09,84029,CC1CC(C(=O)C(C(C(=O)C(CC(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O,C36H63NO13,717.89,1.6,190.75,4,14,6,50,3,1,1,1,0,0,0,Azithromycin has minimal CYP3A4 inhibition; Doxycycline or Amoxicillin where indicated.
49,Azithromycin,"Zithromax, Z-Pak",Macrolide Antibiotic,J01FA10,55185,CCC1C(C(C(N(CC(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)C)C)O)(C)O,C33H62N2O11,662.86,1.12,159.85,4,13,7,46,3,0,0,1,0,0,0,Amoxicillin-clavulanate or Cefuroxime if QT interval prolongation is present.
50,Ciprofloxacin,Cipro,Fluoroquinolone Antibiotic,J01MA02,2764,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,C17H18FN3O3,331.35,1.58,74.57,2,4,3,24,4,1,0,1,0,0,1,Trimethoprim-sulfamethoxazole or Ceftriaxone based on antibiogram and tendon risk.
51,Levofloxacin,Levaquin,Fluoroquinolone Antibiotic,J01MA12,149096,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(C)CC4)F)C(=O)O,C18H20FN3O4,361.37,1.54,75.01,1,5,2,26,4,0,0,1,0,0,1,Ceftriaxone or Doxycycline per pathogen sensitivity testing.
52,Fluconazole,Diflucan,Triazole Antifungal,J02AC01,3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,C13H12F2N6O,306.28,0.74,81.65,1,5,5,22,3,1,0,1,0,0,1,Nystatin for superficial candidiasis; Caspofungin or Terbinafine for systemic alternatives.
53,Ketoconazole,Nizoral,Imidazole Antifungal,J02AB02,3823,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,C26H28Cl2N4O4,531.44,4.21,69.06,0,6,7,36,5,1,1,1,0,0,0,"Topical antifungal (Clotrimazole, Terbinafine) to avoid severe systemic CYP3A4 inhibition."
54,Amoxicillin,Amoxil,Aminopenicillin Antibiotic,J01CA04,33613,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,C16H19N3O5S,365.41,0.02,132.96,4,6,4,25,3,0,0,0,0,0,1,Broad safety profile; Cefalexin or Clindamycin if beta-lactam allergic.
55,Doxycycline,Vibramycin,Tetracycline Antibiotic,J01AA02,54671203,CC1C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C,C22H24N2O7,428.44,0.53,161.39,5,8,2,31,4,0,1,0,0,0,0,Minimal CYP-mediated interaction; separate administration from multivalent cations (calcium/iron).
56,Metformin,Glucophage,Biguanide Antidiabetic,A10BA02,4091,CN(C)C(=N)NC(=N)N,C4H11N5,129.17,-1.03,88.99,4,2,0,9,0,0,0,0,0,0,1,Dapagliflozin or Empagliflozin (SGLT2 inhibitors) if eGFR acceptable; hold before contrast imaging.
57,Glipizide,Glucotrol,Sulfonylurea Antidiabetic,A10BB07,3478,CC1=NC=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,C21H27N5O4S,445.55,2.08,130.15,3,6,7,31,3,0,1,0,0,0,1,Linagliptin or Empagliflozin have minimal hypoglycemia interaction profile.
58,Empagliflozin,Jardiance,SGLT2 Inhibitor,A10BK03,11949646,C1=CC(=C(C=C1Cl)CC2=CC=C(C=C2)OC3CCOC3)C4C(C(C(C(O4)CO)O)O)O,C23H27ClO7,450.92,1.61,108.61,4,7,6,31,4,0,0,0,0,0,1,Cardiovascular and renal protective benefits; monitor volume status.
59,Phenytoin,Dilantin,Hydantoin Antiepileptic / Inducer,N03AB02,1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,C15H12N2O2,252.27,1.77,58.2,2,2,2,19,3,1,1,0,0,0,0,Levetiracetam has linear pharmacokinetics and minimal drug-drug interactions.
60,Carbamazepine,Tegretol,Iminostilbene Antiepileptic / Inducer,N03AF01,2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,C15H12N2O,236.27,3.39,46.33,1,1,0,18,3,0,1,0,0,0,0,Oxcarbazepine or Lamotrigine have reduced auto-induction and interaction load.
61,Levetiracetam,Keppra,Pyrrolidine Antiepileptic,N03AX14,5284583,CCC(C(=O)N)N1CCCC1=O,C8H14N2O2,170.21,-0.13,63.4,1,2,3,12,1,0,0,0,0,0,1,First-line low-interaction antiepileptic; adjust dose according to renal clearance.
62,Valproic Acid,"Depakene, Depakote",Broad-spectrum Anticonvulsant,N03AG01,3121,CCCC(CCC)C(=O)O,C8H16O2,144.21,2.29,37.3,1,1,5,10,0,1,1,0,1,0,0,Levetiracetam or Lamotrigine if teratogenicity or hepatic enzyme inhibition is problematic.
63,Omeprazole,Prilosec,Proton Pump Inhibitor (PPI),A02BC01,4594,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=CC(=C3)OC,C17H19N3O3S,345.42,2.9,77.1,1,5,5,24,3,1,1,0,0,0,1,Pantoprazole has minimal CYP2C19 inhibition; safer co-prescribed with Clopidogrel.
64,Pantoprazole,Protonix,Proton Pump Inhibitor (PPI),A02BC02,4679,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,C16H15F2N3O4S,383.38,2.88,86.33,1,6,7,26,3,0,1,0,0,0,1,Preferred PPI when patient is taking antiplatelet clopidogrel.
65,Ondansetron,Zofran,5-HT3 Receptor Antagonist Antiemetic,A04AA01,4595,CC1=NC=CN1CC2CCC(=O)C3=C2N(C)C4=CC=CC=C34,C18H19N3O,293.37,3.44,39.82,0,2,2,22,4,0,1,1,0,1,0,Metoclopramide or Prochlorperazine if baseline QTc prolongation is observed.
66,Metoclopramide,Reglan,Dopamine Receptor Antagonist Antiemetic,A03FA01,4168,CCN(CC)CCNC(=O)C1=CC(=C(C=C1Cl)N)OC,C14H22ClN3O2,299.8,2.0,67.59,2,4,7,20,1,1,1,1,0,0,1,Domperidone or Ondansetron based on risk of tardive dyskinesia versus QT prolongation.
67,Cyclosporine,"Neoral, Sandimmune",Calcineurin Inhibitor Immunosuppressant,L04AD01,5284373,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,C62H111N11O12,1202.63,3.27,278.8,5,12,15,85,1,1,1,0,0,0,1,Tacrolimus or Mycophenolate Mofetil; therapeutic drug monitoring strictly required.
68,Tacrolimus,Prograf,Calcineurin Inhibitor Immunosuppressant,L04AD02,445643,CC1CC(CC2=C(C=C(C3C(=O)C4(C(CCC4O3)(C(=O)C(CC2)O)O)C)C)OC)OC(=O)C(CC(CC(C(C(=O)C(C1)O)C)O)C)C,C36H54O11,662.82,3.14,176.89,4,11,3,47,4,1,1,1,0,0,1,Mycophenolate sodium or Azathioprine with blood trough level monitoring.
69,Prednisone,Deltasone,Glucocorticoid,H02AB07,5865,CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C,C21H26O5,358.43,1.77,91.67,2,5,2,26,4,0,1,0,1,0,0,Methylprednisolone or Budesonide (topical enteric) for targeted bowel anti-inflammatory action.
70,Methotrexate,"Trexall, Rheumatrex",Antimetabolite Antirheumatic / Cytotoxic,L01BA01,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,C20H22N8O5,454.45,0.27,210.54,5,10,9,33,3,0,0,0,1,0,1,Leflunomide or biologic DMARD (Adalimumab) under specialist rheumatology supervision.
71,Theophylline,"Theo-24, Uniphyl",Methylxanthine Bronchodilator,R03DA04,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,C7H8N4O2,180.17,-1.04,72.68,1,3,0,13,2,0,1,0,0,0,0,"Inhaled bronchodilators (Formoterol, Tiotropium) have wide therapeutic margins and less toxicity."
72,Salbutamol,"Ventolin, Albuterol",Short-acting Beta-2 Agonist (SABA),R03CC02,2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,C13H21NO3,239.31,1.31,72.72,4,4,4,17,1,0,0,0,0,0,0,Ipratropium bromide for inhalational anticholinergic bronchodilation.
73,Levothyroxine,"Synthroid, Levoxyl",Thyroid Hormone,H03AA01,5819,C1=CC(=C(C=C1I)OC2=CC(=C(C(=C2)I)O)I)CC(C(=O)O)N,C15H12I3NO4,650.98,3.95,92.78,3,4,5,23,2,0,1,0,0,0,0,"Separate dosing by at least 4 hours from oral iron, calcium, or antacid supplements."
